
"WU03EW - Location of usual residence and place of work by method of travel to work (MSOA level)"
"ONS Crown Copyright Reserved [from Nomis on 28 February 2025]"
"Population :","All usual residents aged 16 and over in employment the week before the census"
"Units      :","Persons"
"Date       :","2011"
"Method of travel to work:","All categories: Method of travel to work (2001 specification)"

 ,"place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work"
"E02002993 : Bath and North East Somerset 009",6,9,7,19,20,18,667,180,218,16,39,233,17,15,3,6,20,29,11,4,3,31,6,2,4,2,4,2,0,2,3,0,1,0,1,0,0,0,0,8,0,1,1,1,0,1,0,4,2,3,11,4,0,0,2,3,52,0,1,0,0,0,1,4,0,1,1,7,1,2,4,1,1,1,0,0,1,2,39,1,5,0,0,0,0,1,0,0,0,3,0,0,2,3,3,0,0,0,0,0,3,0,0,0,2,0,0,0,1,1,1,1,0,1,0,0,4,0,8,0,0,0,0,0,41,9,5,0,2,0,1,7,0,2,0,1,5,2,1,0
"E02002994 : Bath and North East Somerset 010",11,21,12,44,9,49,651,185,161,291,40,282,31,17,6,23,47,89,26,7,9,47,11,19,16,17,4,1,3,6,5,0,2,0,3,0,1,1,0,4,1,10,2,1,0,2,2,4,5,9,9,7,1,1,1,1,86,0,0,5,1,0,6,6,0,3,3,1,0,3,2,0,0,1,0,0,5,5,56,3,4,3,1,2,1,2,2,2,0,0,3,1,2,0,2,0,0,0,0,1,1,0,0,0,3,0,2,1,4,3,6,3,7,0,0,5,10,1,17,0,0,0,2,0,64,7,8,0,7,1,0,21,1,0,1,5,6,8,3,2
"E02002995 : Bath and North East Somerset 011",4,14,17,11,22,17,448,221,144,24,178,214,51,36,18,26,54,30,19,1,2,35,9,6,8,11,7,0,0,1,0,0,1,0,2,0,1,0,0,2,2,1,2,0,2,0,1,3,0,4,5,0,0,0,1,1,21,0,0,2,1,0,8,6,0,1,1,4,1,7,1,1,2,2,1,0,1,3,20,1,6,0,1,3,1,1,0,0,1,0,0,0,1,2,4,0,0,1,0,0,1,2,0,1,2,1,0,0,1,0,0,0,2,0,1,1,1,0,5,1,1,0,0,0,9,3,5,0,0,0,0,5,0,1,1,2,6,1,0,3
"E02002996 : Bath and North East Somerset 012",8,15,5,25,7,22,781,108,199,28,22,530,18,27,4,15,33,46,14,3,3,49,5,0,5,19,3,2,0,4,7,0,0,0,1,2,3,0,0,3,0,2,1,0,0,0,0,1,1,5,8,17,0,0,0,1,82,0,1,2,2,1,6,4,0,3,0,3,1,2,1,4,1,0,0,0,3,4,67,1,2,1,0,0,2,6,1,4,1,1,0,1,7,4,2,4,1,0,0,0,1,0,0,0,4,2,1,0,0,0,4,0,2,0,0,3,0,0,12,0,0,2,0,1,46,6,4,0,6,4,0,9,0,2,3,3,4,3,1,4
"E02002997 : Bath and North East Somerset 013",4,15,9,11,26,15,686,167,184,24,70,285,71,66,10,12,35,34,12,5,4,48,12,8,9,22,10,0,2,1,3,0,2,0,3,2,0,1,0,2,0,6,0,1,0,0,2,1,2,4,6,5,0,2,0,3,59,0,0,3,2,0,4,2,0,0,0,2,0,7,0,4,0,2,1,0,2,1,44,1,6,1,0,0,0,1,0,0,1,1,0,0,1,3,3,0,0,0,0,0,1,0,0,0,3,1,1,0,1,1,4,1,3,0,0,2,3,1,9,1,0,0,0,0,39,9,5,1,3,1,0,9,2,1,2,7,2,5,1,3
"E02002998 : Bath and North East Somerset 014",6,15,9,14,15,21,628,124,144,33,42,263,28,82,15,8,52,50,28,2,5,49,8,9,11,15,2,0,0,2,4,0,0,0,1,1,0,0,1,5,1,5,0,1,0,0,0,0,0,5,4,2,0,0,1,3,44,0,1,3,1,0,7,1,0,2,3,3,0,2,1,4,0,1,2,0,1,0,43,1,5,1,0,0,0,1,0,2,0,1,0,0,0,2,1,1,0,0,0,0,2,1,0,0,1,0,0,0,1,3,1,0,6,0,0,1,0,0,9,0,1,0,0,0,28,4,5,0,0,1,0,4,0,0,0,2,3,1,0,1
"E02002999 : Bath and North East Somerset 015",11,9,16,10,27,21,474,194,134,28,83,257,73,58,78,18,54,54,33,8,2,33,5,14,8,15,7,0,0,1,3,0,0,0,1,0,0,0,0,1,6,8,0,5,0,0,1,1,2,6,8,4,0,0,0,1,31,0,2,6,2,1,6,5,0,4,1,5,0,6,0,2,2,1,0,0,0,3,35,0,3,0,0,1,1,0,0,1,2,0,0,0,2,2,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,3,1,0,2,3,0,9,0,0,0,0,0,51,1,2,0,2,0,0,9,2,0,0,2,13,3,1,3
"E02003000 : Bath and North East Somerset 016",60,77,102,5,15,10,355,184,99,23,30,128,22,16,13,322,40,43,17,31,21,77,72,28,54,59,14,0,3,5,3,1,4,0,7,2,0,1,3,10,10,8,5,2,4,3,1,6,9,17,18,10,5,7,17,5,156,2,0,13,9,2,36,14,1,22,12,32,1,12,6,11,6,11,3,2,7,14,117,10,16,6,1,9,1,1,1,6,1,1,3,0,4,1,16,1,0,1,0,0,0,3,0,0,8,3,0,0,8,1,4,4,13,5,4,5,17,0,20,1,1,0,1,2,95,15,18,2,8,5,0,16,4,6,1,22,15,21,14,17
"E02003001 : Bath and North East Somerset 017",5,11,6,14,8,11,437,138,129,25,36,256,26,36,9,12,101,60,22,4,2,33,11,11,8,10,7,2,1,0,0,0,2,0,4,1,0,1,0,4,2,1,0,0,0,1,0,2,1,7,7,4,0,0,0,6,68,0,0,6,3,1,4,2,0,3,0,2,0,1,3,3,3,1,0,0,4,1,46,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,1,0,1,0,1,0,5,1,0,8,0,0,0,0,0,66,2,5,1,3,2,0,2,1,0,0,2,2,2,3,0
"E02003002 : Bath and North East Somerset 018",6,11,13,14,12,13,370,99,98,57,21,241,14,21,6,22,74,193,17,4,6,34,6,1,7,10,7,0,0,4,0,0,0,0,2,0,1,1,0,5,2,7,1,0,0,0,2,3,3,4,5,2,1,0,2,2,46,0,0,1,0,0,2,0,0,2,0,4,2,4,0,1,1,0,0,0,2,1,17,3,2,0,0,0,1,2,0,1,1,1,1,0,1,2,6,0,0,2,0,0,0,0,1,0,5,1,0,0,2,1,0,0,2,0,0,0,3,0,8,1,0,0,0,0,33,0,5,0,0,1,0,6,1,2,0,5,2,2,0,3
"E02003003 : Bath and North East Somerset 019",13,8,7,19,20,19,497,194,157,43,48,269,37,41,14,31,127,80,97,4,2,41,13,20,19,20,20,1,0,3,1,0,2,0,2,1,0,1,0,4,3,4,3,2,0,0,0,3,0,4,10,0,1,2,2,3,42,0,0,6,2,2,6,7,0,1,2,6,0,2,1,1,2,0,0,0,0,2,25,6,6,1,2,1,1,0,0,3,0,0,0,1,0,1,0,0,0,2,0,1,1,0,1,0,3,0,0,0,1,1,1,1,5,0,1,5,3,0,8,0,0,0,2,1,30,2,6,0,3,0,0,4,1,1,0,3,2,0,3,3
"E02003004 : Bath and North East Somerset 020",24,30,30,3,4,6,76,51,31,9,10,27,6,10,1,41,11,11,6,206,119,21,52,16,31,46,13,1,4,6,7,3,4,0,17,2,2,2,2,7,7,4,6,3,4,6,3,6,5,13,34,13,1,1,9,10,188,0,2,15,14,4,34,48,4,20,23,35,2,32,23,51,18,20,6,1,20,27,104,8,32,0,3,6,5,7,4,6,1,10,3,2,6,6,35,5,0,0,1,1,2,2,0,0,19,2,2,2,1,3,6,4,14,6,0,3,10,0,16,1,0,1,0,2,32,8,11,0,5,1,3,7,2,5,0,3,9,2,3,6
"E02003005 : Bath and North East Somerset 021",11,15,7,1,2,0,64,27,14,10,17,20,2,3,0,26,5,11,9,62,383,11,34,7,27,14,10,0,1,4,8,3,6,0,14,4,0,2,1,7,6,3,7,1,0,2,2,2,14,10,23,22,1,0,2,17,200,0,5,5,11,0,12,19,3,14,12,16,3,13,30,12,19,5,1,4,9,12,97,0,15,1,2,2,6,7,4,14,2,7,3,1,8,8,56,6,0,3,0,1,4,4,1,1,58,4,4,4,3,0,8,8,5,1,0,2,8,0,12,0,1,1,1,0,31,13,6,0,8,1,0,8,3,4,1,11,5,2,3,7
"E02003006 : Bath and North East Somerset 022",22,13,21,11,13,23,543,210,144,60,59,281,40,29,13,84,95,74,36,19,8,256,73,65,128,123,41,0,1,3,2,1,1,0,5,2,5,3,2,9,5,6,1,1,0,2,2,5,1,7,3,7,2,0,0,3,53,0,1,2,2,0,9,5,1,4,1,12,2,9,7,7,3,1,0,0,3,8,45,0,10,3,2,4,0,1,1,7,0,1,0,0,3,1,8,2,0,1,0,0,0,1,0,0,4,3,0,0,3,1,6,2,4,0,0,1,7,0,16,0,0,0,0,1,61,7,11,0,3,1,0,10,2,2,0,3,6,3,1,5
"E02003007 : Bath and North East Somerset 023",30,40,38,4,10,11,220,144,44,24,40,102,7,12,3,84,31,28,13,101,36,64,433,66,201,229,52,1,2,2,4,1,2,1,10,4,0,2,2,4,4,10,2,1,1,2,3,6,9,13,17,4,0,0,6,7,95,2,0,10,7,1,16,14,0,10,7,14,2,17,10,11,8,3,1,0,4,7,74,4,25,0,3,7,1,4,0,7,0,0,4,3,4,6,18,2,1,0,0,1,4,1,0,0,21,0,0,1,1,1,8,1,7,4,0,2,4,0,9,1,0,0,0,1,44,7,24,0,3,4,0,4,7,2,0,6,6,3,7,11
"E02003008 : Bath and North East Somerset 024",9,15,18,4,5,7,211,95,67,33,35,105,18,10,7,32,41,28,9,19,8,62,87,223,147,231,23,0,1,2,1,0,1,0,2,0,0,0,1,3,0,3,0,2,0,0,0,1,0,3,2,3,0,0,1,1,40,1,0,4,1,1,7,2,0,0,0,8,0,5,2,2,3,2,0,0,5,1,23,3,4,1,0,1,0,0,0,1,1,0,2,0,0,0,9,1,0,1,0,1,5,1,0,0,10,0,0,0,1,0,1,3,2,0,0,2,10,0,9,0,0,0,0,0,20,5,5,0,0,0,0,2,1,3,0,3,1,4,1,0
"E02003009 : Bath and North East Somerset 025",12,18,9,5,2,9,205,69,45,24,32,73,14,2,6,27,29,32,12,25,20,43,181,88,357,310,92,0,0,0,2,0,0,0,3,0,0,0,0,1,4,2,1,0,1,2,0,4,0,8,5,4,0,0,1,2,38,0,1,3,4,0,10,2,1,3,0,9,0,4,1,7,7,0,1,0,3,3,24,3,7,0,2,5,1,3,2,5,1,1,1,2,0,1,13,1,1,0,0,1,0,0,0,0,10,0,1,1,1,1,2,3,4,0,0,1,3,0,5,2,0,0,1,0,41,0,11,0,3,1,0,3,4,3,0,1,5,2,1,2
"E02003010 : Bath and North East Somerset 026",9,10,14,3,8,8,214,90,56,32,32,59,9,5,7,32,25,28,6,33,5,62,131,122,281,480,69,0,0,2,1,0,0,0,4,2,1,0,0,2,5,0,4,0,0,0,2,1,1,8,3,1,1,0,3,0,25,0,0,4,0,0,8,6,4,4,0,9,0,3,2,1,1,2,1,0,1,3,22,0,5,0,0,1,2,2,1,3,0,0,3,1,4,2,5,1,0,1,0,0,1,1,0,1,11,1,1,0,0,1,3,2,2,2,0,2,2,0,5,0,0,0,0,1,33,8,11,0,3,0,0,4,1,1,2,0,5,0,2,2
"E02003011 : Bath and North East Somerset 027",7,8,5,1,3,1,135,67,35,17,14,40,13,7,2,29,20,19,6,26,18,37,101,73,259,324,124,0,0,0,0,0,0,0,4,0,0,0,0,4,1,3,0,0,0,0,0,3,0,1,3,1,0,0,3,1,27,1,2,5,3,0,6,2,0,3,2,8,0,8,6,4,1,0,0,0,1,3,17,1,7,1,0,3,0,2,1,8,2,0,3,0,1,1,5,0,1,2,0,0,1,0,0,0,4,1,1,2,1,1,4,0,4,1,0,1,2,0,9,0,0,1,0,0,19,1,4,0,1,0,0,2,0,0,1,1,1,0,0,4
"E02003012 : Bristol 001",5,2,8,0,0,0,11,12,3,1,1,4,0,0,0,3,2,1,0,5,3,2,7,0,0,0,0,315,98,147,186,10,132,5,168,83,12,32,6,23,32,47,42,42,5,8,13,5,41,49,63,60,8,1,14,55,368,1,3,16,26,2,13,32,4,21,5,19,1,16,8,12,22,4,1,2,5,9,167,21,26,6,6,5,4,26,4,25,1,7,4,1,10,5,15,2,0,2,0,2,2,1,1,0,1,4,2,4,8,22,29,23,397,4,5,6,61,3,137,10,3,0,1,8,150,120,24,2,11,4,3,3,16,12,0,7,2,5,0,5
"E02003013 : Bristol 002",8,2,3,2,1,0,9,3,4,0,3,7,0,1,0,0,1,1,0,6,2,2,8,1,0,0,1,103,318,100,419,14,141,6,131,85,21,33,4,28,48,49,55,50,3,9,41,13,36,39,87,39,3,3,36,38,362,1,11,23,29,2,10,23,0,18,6,21,2,22,9,12,4,2,4,1,5,17,154,30,35,6,2,8,9,47,0,30,5,6,3,2,1,7,12,3,1,0,1,1,3,2,0,0,6,0,1,2,5,34,11,27,332,8,1,7,72,2,130,19,1,0,3,6,213,182,31,3,21,6,2,6,14,12,0,19,7,1,8,10
"E02003014 : Bristol 003",4,0,1,0,0,0,3,1,0,0,0,1,1,0,0,4,0,0,0,5,3,1,5,0,0,0,0,55,27,414,56,6,57,31,434,30,10,13,2,14,13,71,29,20,3,2,14,8,21,17,36,21,2,5,23,23,195,2,6,7,9,0,9,28,1,23,4,7,1,9,7,9,9,1,1,0,0,17,76,9,25,4,6,3,6,46,4,46,2,5,2,2,4,5,2,0,1,0,0,0,0,0,0,1,2,0,1,4,9,9,15,5,261,6,1,2,29,0,53,5,0,0,4,1,48,42,17,0,3,2,0,8,3,7,1,13,1,0,4,4
"E02003015 : Bristol 004",3,4,2,0,0,0,6,3,3,0,2,5,0,0,0,2,0,0,0,2,2,1,1,2,0,0,0,17,40,52,240,29,50,5,30,23,12,38,3,14,26,12,56,28,7,8,23,9,20,34,38,23,0,5,6,27,296,2,3,10,8,0,9,16,0,5,5,12,1,6,6,10,4,5,0,0,0,8,99,19,9,10,5,1,9,11,1,12,3,2,2,0,1,5,6,1,0,3,0,0,2,1,0,0,3,1,1,0,8,11,9,12,87,1,1,3,42,3,86,8,2,0,3,8,147,99,14,1,10,3,0,0,10,6,1,11,4,2,2,3
"E02003016 : Bristol 005",2,3,1,0,0,1,14,3,3,0,2,6,1,0,0,5,0,0,0,5,0,0,4,0,0,2,0,14,34,40,210,119,31,1,57,15,26,40,10,35,56,23,76,28,7,14,36,15,18,63,68,28,1,8,13,30,373,1,5,17,16,3,12,29,1,19,5,15,1,11,12,5,7,1,0,0,0,12,161,19,34,8,1,0,7,17,2,11,1,8,2,0,1,3,6,1,0,0,2,2,1,3,0,0,7,1,1,0,18,21,19,9,116,4,7,2,81,2,123,7,1,0,1,4,280,141,30,0,18,6,3,7,4,11,1,22,5,3,5,4
"E02003017 : Bristol 006",4,4,1,1,0,3,8,5,4,0,1,2,2,0,0,3,0,2,2,2,2,0,0,0,0,1,2,18,28,29,93,18,147,5,29,35,9,24,6,12,15,21,18,43,5,4,14,14,32,29,54,64,3,1,7,43,402,2,7,5,6,0,9,17,5,9,4,10,0,5,3,5,6,4,2,0,5,7,140,6,19,4,6,11,12,10,1,11,2,4,0,1,7,6,3,2,3,1,1,0,1,1,0,0,4,2,1,2,10,11,6,6,62,2,1,3,28,0,59,10,0,0,0,5,149,53,26,0,10,1,1,2,5,4,0,8,3,0,2,0
"E02003018 : Bristol 007",1,1,3,1,0,0,7,0,3,0,0,2,1,0,0,3,0,0,0,2,4,1,1,0,0,0,0,26,21,113,71,9,64,67,193,49,5,8,4,11,13,95,26,38,2,7,20,4,40,26,35,45,0,0,10,35,278,0,4,11,11,0,12,20,1,19,9,5,2,6,6,5,8,3,1,3,3,11,93,7,19,2,4,6,7,38,3,26,1,7,3,1,6,7,10,0,1,2,1,0,2,0,2,1,1,1,2,0,4,6,6,7,116,3,0,3,21,0,40,3,0,0,2,4,66,28,8,0,5,2,0,2,9,3,0,9,4,0,1,1
